objectid,parentid,admin_notes,title,creator,date,description,focused_movement,subject,people,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,WORKSPACE1,WORKSPACE2,WORKSPACE3,object_location,image_small,image_thumb,image_alt_text,,temp1,temp2,temp3
BS_1,,,Closing the College: A Journal,Bev Schnabel '72,1970-05-05,Journal entries discussing the activities Bev and other students participated in after the shooting at Kent,Anti-Vietnam war,Anti-Vietnam war activists; diary,,,,,,,,,,,,compound_object,,,,,,,,,,,
dg_1711472907,,,CBS Manifesto and Minutes of Faculty Meeting regarding the Manifesto,Concerned Black Students,1971-11-29,"This includes two versions of the Concerned Black Students' (CBS) Manifesto, the second of which was submitted to the college as a list of demands on the part of black students on campus. A special faculty meeting was held to discuss the demands, the minutes from which also appear here.",Civil Rights,Burling Library Takeover of '71 & '72;Black Manifesto Demands;Concerned Black Students (CBS);Black Library,"Glenn Leggett, Grinnell President 1965-1975;  Waldo “Wally” Walker, Dean; Lawrence Wright '72",Burling Library,41.746718787662246,-92.72028416032282,Grinnell College,grinnell:10547,text; miscellaneous document,application/pdf,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,pdf,,,,https://dgobjects.blob.core.windows.net/objs/dg_1711472907_OBJ.pdf,https://dgobjects.blob.core.windows.net/smalls/dg_1711472907_OBJ_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/dg_1711472907_OBJ_TN.jpg,,,,,
dg_1712600263,,,"Scarlet & Black: December 7,1971",Scarlet & Black,1971-12-07,"This issue of Scarlet and Black included several articles relating to the Burling Library Takeover. Entire issue is included to highlight how important this event was to the campus community. On page 1, ""Clarification and Interpretations of Week's Events"", ""Leggett, SGA Review Results"", ""Blacks, SGA Meet with Trustees"" and ""News Summary"". On page 4, ""Leggett Statement on Black Agreements"", which includes a section on the institution of a Black Library. on page 5, ""CBS Clarifies Positions to Students"", ""CBS Disclaims Recent Vandalism"". On page 7, "" Faculty Meeting; Approve Admissions Board"", Page 10 (listed as 25), letter to the editors title ""Blacks"". On Page 11 (listed as 35), ""Whites -- Aware of an Issue"".",Civil Rights,Burling Library Takeover of '71 & '72;Reactions to the Takeover;Concerned Black Students (CBS);Black Library,"Deborah Wright; Lawrence Wright '72; Alan ""Al"" D. Wheat '73; Russell N. McGregor '73; Ernest Rose ‘71; Marilyn Cubit; Marc Lafont; Dennis Moss '72; Glenn Leggett, Grinnell President 1965-1975;Mary Gae Wyly, Librarian; Ernest Rose ‘71; Marilyn Cubit; Alan ""Al"" D. Wheat '73",Scarlet & Black Offices at The Forum,41.747739143449095,-92.72009910237777,Grinnell College,,Text; newspaper,application/pdf,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,pdf,,,,https://dgobjects.blob.core.windows.net/objs/dg_1712600263.pdf,https://dgobjects.blob.core.windows.net/smalls/dg_1712600263_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/dg_1712600263_TN.jpg,,,,,
dg_1712600265,,,"Scarlet & Black: February 25th, 1972 ",Scarlet & Black,1972-02-25,"Page 1: ""Propose Black Studies Major"". Page 2: ""Correct Story on Library"". Page 4: ""Ask For White Racial Awareness"", ""thornton Decries S&B Coverage"", ""Lalonde Expand Library Statement"". Page 6: ""Wright Discusses Black Views"",",Civil Rights,Burling Library Takeover of '71 & '72;Burling Library;Reactions to the Takeover;Black Library,"Virginius B. Thornton III, Professor;  Waldo “Wally” Walker, Dean; Irma McClaurin '72; Russell N. McGregor '73; Lawrence Wright '72;",Scarlet & Black Offices at The Forum,41.747739143449095,-92.72009910237777,Grinnell College,,Text; newspaper,application/pdf,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,pdf,,,,https://dgobjects.blob.core.windows.net/objs/dg_1712600265.pdf,https://dgobjects.blob.core.windows.net/smalls/dg_1712600265_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/dg_1712600265_TN.jpg,,,,,
dg_1712600267,,,"Scarlet & Black: March 3rd, 1972",Scarlet & Black,1972-03-03,"A lesser known example of activism for the Black Library is the Circulation Demonstration of February 29th, 1972. About 40 Black students checked out over 800 books between 10 and 11 pm. All the books were reported to be relevant to Black Studies and were loaded into a van that went to the BCC. Earlier that day, the library received an anonymous call informing them that some sort of demonstration was going to take place that night over the College’s decision to fire Alan Nasser. Librarian Henry Alden reported to Dean Wally Walker that the students did not violate any library rules in this demonstration, but did keep the library unusually busy. See Page 1: ""Library Circulation Rises"". Other relevant articles: Page 5 ""Lessons from 2 Hot issues"", ""Mckee Named New Librarian"", Page 7: ""Propose Small Black Library""",Civil Rights,Burling Library;Life at Grinnell for Black Students;Black Library,"Waldo “Wally” Walker, Dean;  Duane Taylor '73; Patricia Swansey '74; Glenn Leggett, Grinnell President 1965-1975; ",Scarlet & Black Offices at The Forum,41.747739143449095,-92.72009910237777,Grinnell College,,Text; newspaper,application/pdf,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,pdf,,,,https://dgobjects.blob.core.windows.net/objs/dg_1712600267.pdf,https://dgobjects.blob.core.windows.net/smalls/dg_1712600267_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/dg_1712600267_TN.jpg,,,,,
dg_1712600278,,,Second Takeover of Burling Library 20th Century Room,,1972-02,"Wally Walker speaking to CBS students in the 20th century room. Members of CBS felt that many of the promised made to address CBS’s demands were not being fulfilled. To encourage more momentum, students staged a second demonstration. This time, students reshelved books that should be included in the Black Library and placed them in the 20th Century Room, which is where CBS wanted the Black Library to be located.",Civil Rights,Burling Library Takeover of '71 & '72;,,Burling Library,41.746718787662246,-92.72028416032282,Grinnell College,,Image;StillImage,image/jpg,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,,,,https://dgobjects.blob.core.windows.net/objs/dg_1712600278.jpg,https://dgobjects.blob.core.windows.net/smalls/dg_1712600278_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/dg_1712600278_TN.jpg,,,,,
dg_1712600285,,,Statement of Support from White Students,"David Mura, Rick Faust, Gordon Brown, Jim Gold, Judy Kressman",1971,"A statement supporting the ""Blacks"" and the Burling Takeover and signed by David Mura, Rick Faust, Gordon Brown, Jim Gold, Judy Kressman.",Civil Rights,Burling Library Takeover of '71 & '72;Reactions to the Takeover,,Grinnell College,41.74965439083347,-92.72070833747784,Grinnell College,,text;scanned,application/pdf,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,pdf,dg_1712600285.pdf,dg_1712600285_SMALL.jpg,dg_1712600285_TN.jpg,https://dgobjects.blob.core.windows.net/objs/dg_1712600285.pdf,https://dgobjects.blob.core.windows.net/smalls/dg_1712600285_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/dg_1712600285_TN.jpg,,,,,
dg_1712600286,,,FBI Files on CBS and the Burling Library Takeover,Federal Bureau of investigation (FBI),1971,"The FBI investigated students groups around the country as the conservative government saw them as potential threats to national security. The files related to their investigations were released to a Freedom of Information Act (FOIA) request. The surveillance of CBS started after the Des Moines Black Panther Party headquarters were bombed on April 26th, 1969.",Civil Rights,Burling Library Takeover of '71 & '72;Government Response;,,FBI- Omaha Field Office,41.21543863035959,-96.1017298201407,Grinnell College,,text;scanned,application/pdf,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,compound_object,,,,,,,,,,,
dg_1712600287,dg_1712600286,,Black Student Demonstration at Grinnell College,Federal Bureau of investigation (FBI),1971-11-30,FBI memo about the Burling Library Takeover. Nearly all of the information is redacted.,Civil Rights,Burling Library Takeover of '71 & '72;Government Response;,,FBI- Omaha Field Office,41.21543863035959,-96.1017298201407,Grinnell College,,text;scanned,image/jpg,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,dg_1712600287.jpg,dg_1712600287_SMALL.jpg,dg_1712600287_TN.jpg,https://dgobjects.blob.core.windows.net/objs/dg_1712600287.jpg,https://dgobjects.blob.core.windows.net/smalls/dg_1712600287_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/dg_1712600287_TN.jpg,,,,,
dg_1712600289,dg_1712600286,,157-542-E,Federal Bureau of investigation (FBI),,"FBI memo giving a brief overview of Grinnell College, including the fact that the college had about 50 Black students at the time. The memo states that the FBI will continue to monitor the activities of the Concerned Black Students organization",Civil Rights,Burling Library Takeover of '71 & '72;Government Response;,,FBI- Omaha Field Office,41.21543863035959,-96.1017298201407,Grinnell College,,text;scanned,image/jpg,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,dg_1712600289.jpg,dg_1712600289_SMALL.jpg,dg_1712600289_TN.jpg,https://dgobjects.blob.core.windows.net/objs/dg_1712600289.jpg,https://dgobjects.blob.core.windows.net/smalls/dg_1712600289_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/dg_1712600289_TN.jpg,,,,,
dg_1712600290,dg_1712600286,,Concerned Black Students; Extremist Matters,Federal Bureau of investigation (FBI),1971-12-03,"FBI memo from the Director's office to the Omaha field office. The letter refers to the Burling Takeover by CBS and directs the office to re-open its investigations into the group and discover its leadership, aims, and objectives and activities.",Civil Rights,Burling Library Takeover of '71 & '72;Government Response;,,FBI- Omaha Field Office,41.21543863035959,-96.1017298201407,Grinnell College,,text;scanned,image/jpg,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,dg_1712600290.jpg,dg_1712600290_SMALL.jpg,dg_1712600290_TN.jpg,https://dgobjects.blob.core.windows.net/objs/dg_1712600290.jpg,https://dgobjects.blob.core.windows.net/smalls/dg_1712600290_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/dg_1712600290_TN.jpg,,,,,
dg_1738688927,dg_1712600286,,Re: Bureau airtel to Omaha dated 12/3/71,Federal Bureau of investigation (FBI),1972-03-20,FBI cover sheet for an enclosed eleven LHM summaries of CBS students. FBI Letterhead Memorandum (LHM) are documents containing potentially derogatory information about the subject of the LHM.,Civil Rights,Burling Library Takeover of '71 & '72;Government Response;,,FBI- Omaha Field Office,41.21543863035959,-96.1017298201407,Grinnell College,,text;scanned,image/jpg,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,dg_1738688927.jpg,dg_1738688927_SMALL.jpg,dg_1738688927_TN.jpg,https://dgobjects.blob.core.windows.net/objs/dg_1738688927.jpg,https://dgobjects.blob.core.windows.net/smalls/dg_1738688927_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/dg_1738688927_TN.jpg,,,,,
dg_1738689086,dg_1712600286,,Subject: Concerned Black Students,Federal Bureau of investigation (FBI),1971-02-23,"FBI Memo identifying the founding officers of the Concerned Black Students group as Linda Copeland, Frank L Thomas, Gregory Coggs. The document states that ""No additional investigation remains"" into the groups' activites. This was dated 9 months prior to the Burling Takeover. ",Civil Rights,Burling Library Takeover of '71 & '72;Government Response;,,FBI- Omaha Field Office,41.21543863035959,-96.1017298201407,Grinnell College,,text;scanned,image/jpg,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,dg_1738689086.jpg,dg_1738689086_SMALL.jpg,dg_1738689086_TN.jpg,https://dgobjects.blob.core.windows.net/objs/dg_1738689086.jpg,https://dgobjects.blob.core.windows.net/smalls/dg_1738689086_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/dg_1738689086_TN.jpg,,,,,
dg_1741719130,,,Robert Asbille's reminiscence,Kent State Reminiscences,1969,Robert Asbille reflecting on his experience of Anti-war protests in reaction to the shooting at Kent State University,Anti-Vietnam war,Anti-war Protest,Robert Asbille '70,,,,Grinnell College,,text;scanned,application/pdf,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,pdf,,,,https://collectionbuilder.blob.core.windows.net/objs/student_activism/dg_1741719130.pdf,https://collectionbuilder.blob.core.windows.net/smalls/student_activism/dg_1741719130.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/student_activism/dg_1741719130.jpg,,,,,
dg_1742486337,p_AJ_1,,Letter from Congressman W.R. Hull Jr. to Ann J. Morey,W.R. Hull Jr. ,1970-05-19,"W.R. Hull JR, US House Representative for the 6th District of Missouri, responsed to Morey's letter ""urging me to vote for legistlation to end our involvement in the conflict in Southeast Asia"". He states that he ""strongly support the policy of removing American troops from Southeast Asia as quickly as possible.",Anti-Vietnam war,Anti-Vietnam war activists; Letter; Government Response,Ann-Janine (AJ) Morey '73,"Washington, DC",38.890085328738934, -77.00905227281248,Grinnell College,,pdf,pdf,,,,pdf,,,,https://collectionbuilder.blob.core.windows.net/objs/student_activism/dg_1742486337.pdf,https://collectionbuilder.blob.core.windows.net/smalls/student_activism/dg_1742486337.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/student_activism/dg_1742486337.jpg,,,,,
dg_1742486338,p_AJ_1,,Price We Pay,Anti-Vietnam war activists,1970-05,"Morey wrote to the editor of the Star or Liberty News. She states that the newspaper's coverage of a ""radical leader in California"" over the blood donations of anti-war activists was not representative of most anti-war protestors. ",Anti-Vietnam war,Anti-Vietnam war activists; Letter; Public Response,Ann-Janine (AJ) Morey '73,"Liberty, MO",39.246653585768634,-94.41847850872949,Grinnell College,,pdf,pdf,,,,pdf,,,,https://collectionbuilder.blob.core.windows.net/objs/student_activism/dg_1742486338.pdf,https://collectionbuilder.blob.core.windows.net/smalls/student_activism/dg_1742486338.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/student_activism/dg_1742486338.jpg,,,,,
dg_1742486339,p_AJ_1,,Letter from Gordon L. Dille to Morey,Gordon L. Dille,1970-05-26,"Dille wrote a 3 page letter to Morey about her letter to the Editor in the Liberty News titled ""Declaration of Conscience"".  He is upset by Morey's statements about KEnt State and the war in Vietnam. Dillie suggests that Morey ""lower your voice and earn your right to speak up"" and tells Morey that she will make a better world if she would ""work real hard, just half as hard as you are yelling now"". He post scripts the letter stating that he is sending a copy to President Nixion, the Governor of Missouri, the Governer of Iowa, the National Guard of Ohio, the President of Kent State, the President of Grinnell, and the Editor of the Liberty News. ",Anti-Vietnam war,Anti-Vietnam war activists; Letter; Public Response,Ann-Janine (AJ) Morey '73,"Liberty, MO",39.246653585768634,-94.41847850872949,Grinnell College,,pdf,pdf,,,,pdf,,,,https://collectionbuilder.blob.core.windows.net/objs/student_activism/dg_1742486339.pdf,https://collectionbuilder.blob.core.windows.net/smalls/student_activism/dg_1742486339.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/student_activism/dg_1742486339.jpg,,,,,
dg_1742486340,p_AJ_1,,"Letter from Gordon L. Dille to Morey, Response",Gordon L. Dille,1970-05-29,Dille responded to Morey's response to his first letter. ,Anti-Vietnam war,Anti-Vietnam war activists; Letter; Public Response,Ann-Janine (AJ) Morey '73,"Liberty, MO",39.246653585768634,-94.41847850872949,Grinnell College,,pdf,pdf,,,,pdf,,,,https://collectionbuilder.blob.core.windows.net/objs/student_activism/dg_1742486340.pdf,https://collectionbuilder.blob.core.windows.net/smalls/student_activism/dg_1742486340.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/student_activism/dg_1742486340.jpg,,,,,
